i,type,avg_length,avg_reward,avg_vc,avg_js_dist
0,mdft,4.48,4.29,0.045,[0.40690256]
0,mdft,7.955,-5.285,0.17,[0.26437328]
0,mdft,4.575,-1.18,0.155,[0.30386218]
0,mdft,8.04,-10.035,0.265,[0.51894461]
0,mdft,58.325,-98.04,1.09,[0.70147371]
0,mdft,7.905,-14.105,0.35,[0.22393238]
0,mdft,4.63,0.905,0.11,[0.42661714]
0,mdft,5.595,-0.23,0.115,[0.32885333]
0,mdft,4.695,-4.035,0.21,[0.32006114]
0,mdft,6.445,-0.125,0.095,[0.4869125]
0,mdft,5.505,1.33,0.095,[0.29872374]
0,mdft,4.64,-1.26,0.185,[0.28015889]
0,mdft,9.045,-10.54,0.255,[0.28456626]
0,mdft,6.475,-10.695,0.485,[0.47153772]
0,mdft,7.835,0.47,0.055,[0.28019991]
0,mdft,5.435,0.91,0.095,[0.3005631]
0,mdft,4.445,0.165,0.13,[0.32033606]
0,mdft,11.005,-17.16,0.35,[0.41823103]
0,mdft,3.425,-2.47,0.205,[0.35021612]
0,mdft,9.025,-55.355,1.17,[0.54930365]
0,mdft,10.025,-12.99,0.285,[0.45249444]
0,mdft,7.93,-126.53,2.64,[0.30426591]
0,mdft,4.605,-2.435,0.18,[0.24034129]
0,mdft,15.05,-12.135,0.165,[0.31688805]
0,mdft,8.76,-5.845,0.165,[0.43000183]
0,mdft,9.795,-9.63,0.22,[0.43613783]
0,mdft,7.91,-5.24,0.2,[0.23585254]
0,mdft,10.02,-88.965,1.835,[0.35447408]
0,mdft,3.52,4.045,0.07,[0.2208634]
0,mdft,5.64,-3.46,0.18,[0.39259384]
0,mdft,6.84,-21.085,0.55,[0.29227816]
0,mdft,7.975,-9.5,0.255,[0.35877372]
0,mdft,3.45,6.075,0.03,[0.3825344]
0,mdft,11.18,-63.665,1.295,[0.38504123]
0,mdft,5.44,-0.325,0.12,[0.34130565]
0,mdft,4.395,0.965,0.115,[0.41068677]
0,mdft,4.44,-5.785,0.25,[0.2995145]
0,mdft,5.75,-6.28,0.235,[0.37791397]
0,mdft,9.935,-5.55,0.135,[0.34020619]
0,mdft,13.575,-18.01,0.315,[0.34825395]
0,mdft,10.16,-11.165,0.245,[0.44610065]
0,mdft,6.86,-7.175,0.255,[0.30862779]
0,mdft,4.34,-3.97,0.215,[0.45795618]
0,mdft,4.535,-12.77,0.39,[0.21291987]
0,mdft,15.665,-14.715,0.235,[0.36339461]
0,mdft,4.56,-0.91,0.15,[0.15434786]
0,mdft,8.87,-15.075,0.35,[0.31120331]
0,mdft,5.675,-4.72,0.205,[0.25705136]
0,mdft,7.0,-6.29,0.21,[0.3086914]
0,mdft,5.855,-7.85,0.265,[0.27930676]
0,mdft,3.48,-5.81,0.27,[0.22241914]
0,mdft,6.73,-55.01,1.19,[0.34979716]
0,mdft,9.225,-9.8,0.255,[0.34025324]
0,mdft,4.61,1.98,0.09,[0.32550151]
0,mdft,6.655,-0.31,0.095,[0.43321589]
0,mdft,3.45,-3.09,0.215,[0.20339915]
0,mdft,12.005,-27.69,0.54,[0.27953693]
0,mdft,6.905,-8.94,0.265,[0.25418224]
0,mdft,6.475,0.36,0.095,[0.48773192]
0,mdft,5.94,-8.445,0.275,[0.30443972]
0,mdft,3.34,0.75,0.14,[0.20319924]
0,mdft,6.975,-3.325,0.15,[0.32839788]
0,mdft,5.46,-3.77,0.19,[0.31354603]
0,mdft,20.55,-19.105,0.27,[0.31888016]
0,mdft,7.725,-8.27,0.235,[0.34699536]
0,mdft,11.045,-10.855,0.22,[0.38816553]
0,mdft,4.525,-1.37,0.16,[0.45538994]
0,mdft,3.245,7.51,0.005,[0.41694627]
0,mdft,9.105,-9.87,0.24,[0.25660432]
0,mdft,4.62,-0.725,0.145,[0.20122882]
0,mdft,10.29,-13.745,0.295,[0.19328012]
0,mdft,11.45,-12.71,0.25,[0.4427605]
0,mdft,4.655,-9.09,0.315,[0.21535935]
0,mdft,3.52,3.51,0.08,[0.32924521]
